City_State,Timestamp,Traffic_Congestion (%),Avg_Vehicle_Speed (MPH),PM2.5_Level (µg/m³),CO2_Emissions (Metric Tons),Noise_Pollution (dB),Renewable_Energy (%),Electricity_Consumption (MWh),Water_Consumption (Million Gallons),Temperature (°F),Sensor_Reliability (0-1),Traffic_Incident,Weather_Condition
"Phoenix, AZ",01-01-2024 00:00,58,55,10.41,370.97,47,50.93,2523.42,175.02,37.1,0.76,Road Construction,Cloudy
"Dallas, TX",01-01-2024 01:00,38,65,12.34,149.24,69,72.33,1616.97,52.89,99.4,0.99,Event Nearby,Snowy
"Chicago, IL",01-01-2024 02:00,38,38,40.15,178.43,81,49.05,2220.32,183.34,98.5,0.82,Road Construction,Rainy
"San Diego, CA",01-01-2024 03:00,86,50,45.62,94.94,49,71.79,3395.2,104.26,79,0.79,Clear,Rainy
"Los Angeles, CA",01-01-2024 04:00,53,50,37.88,203.18,43,34.31,2009.43,96.97,64.9,0.84,Event Nearby,Rainy
"San Jose, CA",01-01-2024 05:00,82,35,12.02,149.1,56,11.06,2519.58,153.94,50.9,0.77,Road Construction,Cloudy
"San Diego, CA",01-01-2024 06:00,77,64,44.81,347.97,78,61.45,4201.62,20.3,76.9,0.76,Road Construction,Snowy
"Chicago, IL",01-01-2024 07:00,49,44,15.84,220.3,86,44.66,4335.3,175.26,78.1,0.84,Heavy Traffic,Sunny
"New York, NY",01-01-2024 08:00,67,16,5.74,247.08,56,38.06,3275.04,78.32,65.5,1,Accident,Sunny
"New York, NY",01-01-2024 09:00,66,15,21.58,243.67,79,38.22,1764.87,95.02,93.4,0.7,Accident,Sunny
"Houston, TX",01-01-2024 10:00,72,47,30.92,352.42,65,46.12,4978.61,13.03,41.2,0.99,Event Nearby,Foggy
"Phoenix, AZ",01-01-2024 11:00,61,27,32.77,263.9,68,63.69,1063.79,127.36,46.5,0.75,Event Nearby,Foggy
"New York, NY",01-01-2024 12:00,48,16,43.2,281.63,56,70.36,2547.28,83.52,64.1,0.95,Clear,Foggy
"San Antonio, TX",01-01-2024 13:00,85,45,43.64,159.71,84,78.23,4590,188.46,55.1,0.99,Event Nearby,Snowy
"Los Angeles, CA",01-01-2024 14:00,83,48,10.58,357.2,66,51.7,2748.68,12.58,96.7,0.86,Heavy Traffic,Cloudy
"San Diego, CA",01-01-2024 15:00,38,43,27.11,172.04,81,56.2,4872,34.38,62.4,0.96,Accident,Cloudy
"Houston, TX",01-01-2024 16:00,47,54,9.68,320.87,85,17.06,1798.95,44.84,55.2,0.85,Accident,Snowy
"San Antonio, TX",01-01-2024 17:00,66,19,39.65,93.12,83,20.32,2801.53,23.49,95,0.79,Heavy Traffic,Cloudy
"San Jose, CA",01-01-2024 18:00,29,68,33.94,54.95,66,33.14,1782.07,114.27,77.4,0.91,Accident,Cloudy
"Philadelphia, PA",01-01-2024 19:00,93,51,17.61,373.25,76,19.28,3094.33,104.37,79.9,0.76,Road Construction,Foggy
"San Jose, CA",01-01-2024 20:00,93,39,15.59,296.36,85,67.11,3837.14,160.54,49.6,0.77,Clear,Sunny
"Houston, TX",01-01-2024 21:00,35,58,44.56,384.1,75,38.39,2596.57,13.9,48.8,0.83,Heavy Traffic,Sunny
"San Diego, CA",01-01-2024 22:00,79,17,44.02,124.21,62,33.38,4143.91,51.53,30.9,0.83,Heavy Traffic,Sunny
"New York, NY",01-01-2024 23:00,65,40,12.18,118.31,82,58.61,2897.26,194.03,95.5,0.8,Accident,Sunny
"Houston, TX",02-01-2024 00:00,73,67,25.99,265.26,63,32.94,4561.69,116.1,86,0.93,Road Construction,Cloudy
"San Diego, CA",02-01-2024 01:00,81,30,9.06,161.46,80,26.57,2164.91,111.75,73.4,0.89,Clear,Rainy
"Los Angeles, CA",02-01-2024 02:00,25,44,9.95,315.94,56,17.8,4961.16,88.17,52.4,0.97,Accident,Cloudy
"San Antonio, TX",02-01-2024 03:00,78,26,9.95,210.88,41,72.01,4370.9,156.14,50.3,0.91,Clear,Foggy
"Dallas, TX",02-01-2024 04:00,56,51,40.07,71.04,53,20.15,3385.93,80.64,35.8,0.85,Road Construction,Rainy
"Chicago, IL",02-01-2024 05:00,40,32,32.31,144.76,51,72.36,3174.36,34.11,85.7,0.95,Clear,Cloudy
"San Diego, CA",02-01-2024 06:00,22,35,8.56,331.12,49,78.68,1906.93,183.07,99,0.81,Heavy Traffic,Sunny
"Philadelphia, PA",02-01-2024 07:00,28,63,37.54,82.23,84,32.38,2062.11,19.47,97.7,0.92,Accident,Foggy
"San Diego, CA",02-01-2024 08:00,76,55,19.48,355.13,74,35.94,1674.87,111.23,44.3,0.8,Road Construction,Rainy
"San Diego, CA",02-01-2024 09:00,57,54,41.31,51.09,65,36.77,1185,121.59,41.3,0.71,Event Nearby,Rainy
"Phoenix, AZ",02-01-2024 10:00,79,28,13.27,81.24,88,19.79,4083.89,83.62,59.7,0.84,Event Nearby,Cloudy
"San Diego, CA",02-01-2024 11:00,47,60,23.58,55.45,85,32.27,4591.22,113.99,31.2,0.77,Clear,Rainy
"San Jose, CA",02-01-2024 12:00,74,32,38.14,306.85,74,57.13,1541.06,113.79,64.8,0.89,Event Nearby,Sunny
"New York, NY",02-01-2024 13:00,44,66,13.75,267.58,83,49.6,3969.43,168.2,39.6,0.86,Accident,Snowy
"Dallas, TX",02-01-2024 14:00,36,24,19.2,333.54,41,53.16,3803.54,142.29,34.5,0.75,Event Nearby,Foggy
"San Antonio, TX",02-01-2024 15:00,37,25,49.25,345.93,56,52.17,3228.82,37.94,66.9,0.98,Accident,Foggy
"Houston, TX",02-01-2024 16:00,90,45,38.86,334.27,67,37.82,4780.85,74.96,70,0.94,Accident,Cloudy
"San Antonio, TX",02-01-2024 17:00,64,21,5.25,208.3,87,20.57,2507.66,179.82,73.3,0.96,Heavy Traffic,Sunny
"Dallas, TX",02-01-2024 18:00,42,36,8.12,119.83,62,34.03,3672.96,43.55,37.7,0.7,Event Nearby,Foggy
"Philadelphia, PA",02-01-2024 19:00,71,46,38.44,52.91,80,53.56,3350.54,35.86,82.5,0.78,Clear,Sunny
"Houston, TX",02-01-2024 20:00,48,31,35.27,59.66,69,38.66,1813,102.41,84.6,0.89,Road Construction,Cloudy
"New York, NY",02-01-2024 21:00,42,23,43.42,231.91,70,36.16,3562.61,34.35,85.6,0.77,Heavy Traffic,Foggy
"Dallas, TX",02-01-2024 22:00,21,49,7.34,159.55,89,19.91,4533.82,16.48,85.4,1,Heavy Traffic,Foggy
"San Jose, CA",02-01-2024 23:00,77,58,49.56,340.57,52,49.04,2601.62,189.01,54.6,0.72,Heavy Traffic,Rainy
"Dallas, TX",03-01-2024 00:00,90,34,15.61,252.98,65,72.8,4094.04,184.89,96.8,0.93,Clear,Sunny
"Philadelphia, PA",03-01-2024 01:00,27,58,22.17,264.97,56,22.88,4649.18,198.42,98.3,0.93,Road Construction,Foggy
